threshold,mismatch_rate,communication_reduction,mae,rmse,n_transmissions,n_suppressed
0.25,0.9156,0.08440000000000003,1.2287234760826158,1.5078401697273236,9156,844
0.5,0.8321,0.16790000000000005,1.2287234760826158,1.5078401697273236,8321,1679
0.75,0.7302,0.26980000000000004,1.2287234760826158,1.5078401697273236,7302,2698
1.0,0.5196,0.48040000000000005,1.2287234760826158,1.5078401697273236,5196,4804
1.25,0.3815,0.6185,1.2287234760826158,1.5078401697273236,3815,6185
1.5,0.266,0.734,1.2287234760826158,1.5078401697273236,2660,7340
1.75,0.1714,0.8286,1.2287234760826158,1.5078401697273236,1714,8286
2.0,0.1408,0.8592,1.2287234760826158,1.5078401697273236,1408,8592
2.25,0.1186,0.8814,1.2287234760826158,1.5078401697273236,1186,8814
2.5,0.0979,0.9021,1.2287234760826158,1.5078401697273236,979,9021
2.75,0.0795,0.9205,1.2287234760826158,1.5078401697273236,795,9205
3.0,0.065,0.935,1.2287234760826158,1.5078401697273236,650,9350
